,buy_price,sell_price,pattern,buy_stime,sell_stime,pL0,pL1,pL2,pL3,pL4,pL5,pL6,pL7,pL8,pL9,level_trend,level_trend_num,roi_max,roi_min,roi
0,3809.35,3768.88,SL,2024-05-31 11:56:00,2024-05-31 14:02:00,3724.41,3770.0,3719.3,3825.35,3741.0,3702.58,3801.65,3750.75,3792.99,3742.59,0.0,0.0,0.76,-1.21,-1.21
1,3859.72,3820.44,SL,2024-06-05 18:16:00,2024-06-06 17:09:00,3782.0,3824.44,3820.81,3777.33,3839.92,3776.2,3831.65,3768.29,3741.6,3782.99,0.0,0.0,0.5,-1.17,-1.17
